fuelbed,thin,herb,rxfire,eligibility_thinning,eligibility_herbicide,eligibility_rxfire,treatability_thinning,treatability_herbicide,treatability_rxfire,post_1,max_tslt,mfri_shortens,mfri_lengthens_1,mfri_lengthens_2,crown_fire,mfri_lower,mfri_upper,succession_post_1,succession_post_2,succession_max,probability_of_ignition
1033306,1033306,1033306,1033306,1,1,1,1,1,2,1031406,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
1033401,1033401,1033401,1033401,1,1,1,1,1,1,1031401,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
1033402,1033402,1033402,1033402,1,1,1,1,1,1,1031402,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
1033403,1033403,1033403,1033403,1,1,1,1,1,1,1031403,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
1033404,1033404,1033404,1033404,1,1,1,1,1,1,1031404,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
1033405,1033405,1033405,1033405,1,1,1,1,1,1,1031405,0,-2,-2,-2,-2,0,0,-2,-2,100,0.0001
1033406,1033406,1033406,1033406,1,1,1,1,1,1,1031406,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
1034101,1034101,1034101,1034101,1,1,2,1,1,2,1031401,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
1034102,1034102,1034102,1034102,1,1,2,1,1,2,1031402,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
1034103,1034103,1034103,1034103,1,1,2,1,1,2,1031403,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
1034104,1034104,1034104,1034104,1,1,2,1,1,2,1031404,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
1034105,1034105,1034105,1034105,1,1,2,1,1,2,1031405,0,-2,-2,-2,-2,0,0,-2,-2,100,0.0001
1034106,1034106,1034106,1034106,1,1,2,1,1,2,1031406,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
1034201,1034201,1034201,1034201,1,1,2,1,1,2,1031401,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
1034202,1034202,1034202,1034202,1,1,2,1,1,2,1031402,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
1034203,1034203,1034203,1034203,1,1,2,1,1,2,1031403,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
1034204,1034204,1034204,1034204,1,1,2,1,1,2,1031404,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
1034205,1034205,1034205,1034205,1,1,2,1,1,2,1031405,0,-2,-2,-2,-2,0,0,-2,-2,100,0.0001
1034206,1034206,1034206,1034206,1,1,2,1,1,2,1031406,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
1034301,1034301,1034301,1034301,1,1,1,1,1,2,1031401,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
1034302,1034302,1034302,1034302,1,1,1,1,1,2,1031402,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
1034303,1034303,1034303,1034303,1,1,1,1,1,2,1031403,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
1034304,1034304,1034304,1034304,1,1,1,1,1,2,1031404,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
1034305,1034305,1034305,1034305,1,1,1,1,1,2,1031405,0,-2,-2,-2,-2,0,0,-2,-2,100,0.0001
1034306,1034306,1034306,1034306,1,1,1,1,1,2,1031406,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
1034401,1034401,1034401,1034401,1,1,1,1,1,1,1031401,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
1034402,1034402,1034402,1034402,1,1,1,1,1,1,1031402,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
1034403,1034403,1034403,1034403,1,1,1,1,1,1,1031403,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
1034404,1034404,1034404,1034404,1,1,1,1,1,1,1031404,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
